Verk;Oms;Land;Fecode;RdcX;RdcY;Type;Straal1;Straal2;Straal3;Vanaf;VanafIAM;Positie;Knoop
y.ltw;Y.Lierse Steenweg;;;009610;037504;0;0;0;0;0;0;5;0
y.prh;Y.Prinsenhoek;;;009944;036665;0;0;0;0;0;0;5;0
y.zgrh;Y.Zuid Groenenhoek;;;009593;037552;0;0;0;0;0;0;5;0
ypb;Den Haag Ypenburg;NL;379;008782;045214;8;0;2;2;2;2;7;0
za;Zetten-Andelst;NL;734;017809;043685;6;0;2;2;2;2;2;0
zb;Zuidbroek;NL;742;025409;057578;8;0;2;2;2;2;2;0
zbm;Zaltbommel;NL;732;014651;042363;6;0;2;2;2;2;4;0
zcw;Zoetermeer Centrum West;NL;739;009298;045286;8;0;0;0;0;0;0;0
zd;Zaandam;NL;731;011597;049471;11;0;2;2;2;2;4;1
zdb;Zaanbrug;;;011601;049649;1;0;0;0;0;0;7;0
zdk;Zaandam Kogerveld;NL;728;011650;049670;8;0;2;2;2;2;8;0
zh;Zuidhorn;NL;743;022309;058510;8;0;2;2;2;2;2;0
zha;Zevenbergschenhoek aansl.;;;010704;040639;5;0;0;0;0;0;5;0
zl;Zwolle;NL;747;020272;050220;11;3;3;3;1;1;2;1
zlge;Zwolle goed. empl.;;;020300;050165;2;0;0;0;0;0;0;0
zlgea;Zwolle goed. empl. aansl.;;;020385;050152;4;0;0;0;0;0;0;0
zlkatw;Zwolle racc. Katwolde;;;020181;050359;2;0;0;0;0;0;0;0
zlptt;Zwolle PTT;;;020231;050237;2;0;0;0;0;0;3;0
zlptta;Zwolle PTT aansl.;;;020211;050231;4;0;0;0;0;0;4;0
zlr;Zwolle rang. terr.;;;020220;050227;2;0;0;0;0;0;0;0
zlra;Zwolle rang. terr. aansl.;;;020193;050208;4;0;0;0;0;0;8;0
zlw;Lage Zwaluwe;NL;382;010499;041145;8;0;2;2;2;2;5;0
zp;Zutphen;NL;744;021025;046214;8;2;2;2;2;2;8;1
zpge;Zutphen goed. empl.;;;021042;046335;2;0;0;0;0;0;0;0
zpgea;Zutphen goed. empl. aansl.;;;021135;046348;4;0;0;0;0;0;5;0
zpta;Zutphen Twentekanaal aansl.;;;021170;046415;5;0;0;0;0;0;1;0
zsh;Zoetermeerring Stadhuis;NL;;009362;045290;6;0;0;0;0;0;0;0
zspl;Zuidelijke splitsing (Haarlem);;;010260;048821;4;0;0;2;3;3;4;0
ztm;Zoetermeer;NL;741;009259;045143;8;0;2;2;2;2;6;0
ztmb;Zoetermeerring Buytenwegh;NL;;009270;045356;6;0;0;0;0;0;0;0
ztmd;Zoetermeerring Dorp;NL;;009355;045213;6;0;0;0;0;0;0;0
ztml;Zoetermeerring Leidsewallen;NL;;009487;045375;6;0;0;0;0;0;0;0
ztmm;Zoetermeerring Meerzicht;NL;;009206;045223;6;0;0;0;0;0;0;0
ztmo;Zoetermeer Oost;NL;740;009373;045126;8;0;2;2;2;2;3;0
ztmp;Zoetermeerring Palenstein;NL;;009456;045274;6;0;0;0;0;0;0;0
ztms;Zoetermeerring Seghwaert;NL;;009515;045308;6;0;0;0;0;0;0;0
ztmv;Zoetermeerring Voorweg;NL;;009217;045309;6;0;0;0;0;0;0;0
ztwo;Zoeterwoude Oost;;;010016;045981;4;0;0;0;0;0;3;0
ztww;Zoeterwoude West;;;009725;046054;4;0;0;0;0;0;3;0
zv;Zevenaar;NL;735;020211;043752;8;0;2;2;2;2;2;1
zv gr;Zevenaar grens;;;020756;043450;9;0;0;0;0;0;3;0
zvb;Zevenbergen;NL;737;010121;040609;6;0;2;2;2;2;1;0
zvbi;Zevenbergen inhaalsp.;;;009972;040381;4;0;0;0;0;0;1;0
zvg;Zevenaar grens;;;020747;043437;9;0;0;2;3;3;6;0
zvo;Zevenaar Oost;;;020265;043720;3;0;2;2;0;2;7;0
zvt;Zandvoort aan Zee;NL;733;009669;048784;10;0;2;2;2;2;4;0
zwd;Zwijndrecht;NL;752;010354;042545;8;0;2;2;2;2;6;0
zwvbr;Zuidwillemsvaart brug;;;017291;038694;1;0;0;0;0;0;1;0
zww;Zwaagwesteinde;NL;745;019840;058355;6;0;0;0;0;0;0;0
